severity,table,column,loss_type,description,remediation
HIGH,assets,status,STATUS_AS_EVENT,Table 'assets' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,Create or link to a domain_events entry when status changes. Model the transition as a DomainEvent subclass in the ontology.
LOW,compliance_bundles,(none),MISSING_METADATA,Table 'compliance_bundles' has no entry in ontology_metadata. OWL class label and description will be auto-generated from column name only.,"Add TABLE-level row to ontology_metadata with label, description, sensitivity_tier, and cq_coverage."
LOW,federation_partners,(none),MISSING_METADATA,Table 'federation_partners' has no entry in ontology_metadata. OWL class label and description will be auto-generated from column name only.,"Add TABLE-level row to ontology_metadata with label, description, sensitivity_tier, and cq_coverage."
HIGH,federation_query_log,status,STATUS_AS_EVENT,Table 'federation_query_log' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,Create or link to a domain_events entry when status changes. Model the transition as a DomainEvent subclass in the ontology.
LOW,federation_query_log,(none),MISSING_METADATA,Table 'federation_query_log' has no entry in ontology_metadata. OWL class label and description will be auto-generated from column name only.,"Add TABLE-level row to ontology_metadata with label, description, sensitivity_tier, and cq_coverage."
MEDIUM,federation_trust_ledger,event_type,OVERLOADED_TYPE,Column 'federation_trust_ledger.event_type' is a type discriminator with no OWL subclass hint in ontology_metadata. Subclass distinctions are buried in application code.,Add ontology_metadata entry for 'federation_trust_ledger.event_type' with semantic_type pointing to the discriminated OWL class. Generate OWL subclasses for each distinct value.
LOW,federation_trust_ledger,(none),MISSING_METADATA,Table 'federation_trust_ledger' has no entry in ontology_metadata. OWL class label and description will be auto-generated from column name only.,"Add TABLE-level row to ontology_metadata with label, description, sensitivity_tier, and cq_coverage."
HIGH,ontology_evolution_proposals,status,STATUS_AS_EVENT,Table 'ontology_evolution_proposals' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,Create or link to a domain_events entry when status changes. Model the transition as a DomainEvent subclass in the ontology.
LOW,ontology_evolution_proposals,(none),MISSING_METADATA,Table 'ontology_evolution_proposals' has no entry in ontology_metadata. OWL class label and description will be auto-generated from column name only.,"Add TABLE-level row to ontology_metadata with label, description, sensitivity_tier, and cq_coverage."
LOW,ontology_version_ledger,(none),MISSING_METADATA,Table 'ontology_version_ledger' has no entry in ontology_metadata. OWL class label and description will be auto-generated from column name only.,"Add TABLE-level row to ontology_metadata with label, description, sensitivity_tier, and cq_coverage."
LOW,tmf_agreement,status,STATUS_AS_EVENT,Table 'tmf_agreement' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,SID/eTOM lifecycle table. Ensure state transitions are recorded via the corresponding TMF event/order table (e.g. ServiceOrder for Service state changes). Add prov:wasInvalidatedBy annotations when state changes.
LOW,tmf_customer_account,status,STATUS_AS_EVENT,Table 'tmf_customer_account' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,SID/eTOM lifecycle table. Ensure state transitions are recorded via the corresponding TMF event/order table (e.g. ServiceOrder for Service state changes). Add prov:wasInvalidatedBy annotations when state changes.
HIGH,tmf_event_subscription,status,STATUS_AS_EVENT,Table 'tmf_event_subscription' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,Create or link to a domain_events entry when status changes. Model the transition as a DomainEvent subclass in the ontology.
MEDIUM,tmf_event_subscription,event_type,OVERLOADED_TYPE,Column 'tmf_event_subscription.event_type' is a type discriminator with no OWL subclass hint in ontology_metadata. Subclass distinctions are buried in application code.,Add ontology_metadata entry for 'tmf_event_subscription.event_type' with semantic_type pointing to the discriminated OWL class. Generate OWL subclasses for each distinct value.
LOW,tmf_party_role,status,STATUS_AS_EVENT,Table 'tmf_party_role' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,SID/eTOM lifecycle table. Ensure state transitions are recorded via the corresponding TMF event/order table (e.g. ServiceOrder for Service state changes). Add prov:wasInvalidatedBy annotations when state changes.
LOW,tmf_policy,status,STATUS_AS_EVENT,Table 'tmf_policy' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,SID/eTOM lifecycle table. Ensure state transitions are recorded via the corresponding TMF event/order table (e.g. ServiceOrder for Service state changes). Add prov:wasInvalidatedBy annotations when state changes.
LOW,tmf_product,status,STATUS_AS_EVENT,Table 'tmf_product' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,SID/eTOM lifecycle table. Ensure state transitions are recorded via the corresponding TMF event/order table (e.g. ServiceOrder for Service state changes). Add prov:wasInvalidatedBy annotations when state changes.
HIGH,tmf_service_quality_report,status,STATUS_AS_EVENT,Table 'tmf_service_quality_report' has a 'status' lifecycle column but no direct FK to an event table. State transitions are implicit — the history of state changes is not tracked in the ontology.,Create or link to a domain_events entry when status changes. Model the transition as a DomainEvent subclass in the ontology.
MEDIUM,tmf_trouble_ticket,category,OVERLOADED_TYPE,Column 'tmf_trouble_ticket.category' is a type discriminator with no OWL subclass hint in ontology_metadata. Subclass distinctions are buried in application code.,Add ontology_metadata entry for 'tmf_trouble_ticket.category' with semantic_type pointing to the discriminated OWL class. Generate OWL subclasses for each distinct value.
